time,Total,Kin,Pot
11.6195,5943.789773287182,5968.623550052921,-24.833776765739074
11.620000000000001,5943.831312500185,5969.440295141625,-25.608982641439805
11.6205,5943.871505347201,5970.215662913176,-26.344157565975113
11.621,5943.910400310353,5970.950973410611,-27.04057310025812
11.621500000000001,5943.948026293645,5971.647521306789,-27.69949501314388
11.622,5943.984448285411,5972.306559846976,-28.322111561564697
11.6225,5944.01974043823,5972.929288849386,-28.909548411156262
11.623000000000001,5944.0539441135115,5973.516845707108,-29.462901593596108
11.6235,5944.08713801597,5974.070298272549,-29.983160256579552
11.624,5944.119429569877,5974.5906394918065,-30.47120992192965
11.6245,5944.150877952486,5975.078782854059,-30.927904901573537
11.625,5944.181557414584,5975.535558645844,-31.354001231259737
11.6255,5944.211582539429,5975.961710473872,-31.750127934442688
11.626,5944.241034582354,5976.357891508225,-32.11685692587176
11.6265,5944.270030216703,5976.7246613816005,-32.454631164896966
11.627,5944.298638204506,5977.062482893244,-32.76384468873827
11.6275,5944.326995390787,5977.3717177956205,-33.04472240483429
11.628,5944.355182608383,5977.652622772996,-33.29744016461374
11.6285,5944.383337274698,5977.90534533627,-33.52200806157234
11.629,5944.411557757189,5978.129919242527,-33.71836148533746
11.6295,5944.4399833926955,5978.326259523852,-33.88627613115659
11.63,5944.468742556775,5978.4941574798195,-34.02541492304405
11.6305,5944.497949109667,5978.633275625033,-34.13532651536531
11.631,5944.527746015268,5978.7431421982055,-34.21539618293715
11.6315,5944.558301421167,5978.82314601917,-34.26484459800285
11.632,5944.589736580295,5978.872531394439,-34.28279481414357
11.6325,5944.622213101003,5978.890392911238,-34.268179810235544
11.633000000000001,5944.655872879692,5978.875671096789,-34.219798217097164
11.6335,5944.690920893297,5978.8271484254965,-34.13622753220013
11.634,5944.7275045662755,5978.743445935218,-34.0159413689426
11.634500000000001,5944.765772312143,5978.623021148515,-33.857248836372754
11.635,5944.805899646747,5978.464167125201,-33.6582674784541
11.6355,5944.84803949047,5978.265013349416,-33.41697385894636
11.636000000000001,5944.892347125081,5978.023528735129,-33.131181610047896
11.6365,5944.938981776862,5977.737527263002,-32.798545486140036
11.637,5944.988070371904,5977.404676435697,-32.41660606379327
11.637500000000001,5945.039727261007,5977.022509816465,-31.982782555457867
11.638,5945.094057313446,5976.588444075061,-31.494386761615182
11.6385,5945.151109461257,5976.099800808016,-30.94869134675885
11.639000000000001,5945.210946910538,5975.553834912285,-30.34288800174769
11.6395,5945.273531113159,5974.947768947192,-29.67423783403321
11.64,5945.338832676519,5974.278835545172,-28.940002868653593
11.6405,5945.406743126195,5973.5443288438655,-28.13758571767079
11.641,5945.477056546818,5972.741664288739,-27.264607741921097
11.6415,5945.549507720643,5971.868448792792,-26.318941072148565
11.642,5945.623758062492,5970.922560915637,-25.298802853145013
11.6425,5945.699333427679,5969.9022407886505,-24.202907360970638
